N,c1,c2,c3,liar_caught
15,1,2,3,true
15,2,3,4,true
15,3,4,5,true
15,4,5,1,true
15,5,1,2,true
16,1,2,3,true
16,2,3,4,true
16,3,4,6,true
16,4,6,1,true
16,6,1,2,true
17,1,2,3,true
17,2,3,5,true
17,3,5,6,true
17,5,6,1,true
17,6,1,2,true
17,1,2,3,true
17,2,3,4,true
17,3,4,7,true
17,4,7,1,true
17,7,1,2,true
18,1,2,4,true
18,2,4,5,true
18,4,5,6,true
18,5,6,1,true
18,6,1,2,true
18,1,2,3,false
18,2,3,5,false
18,3,5,7,true
18,5,7,1,true
18,7,1,2,true
18,1,2,3,false
18,2,3,4,false
18,3,4,8,false
18,4,8,1,false
18,8,1,2,true
19,1,3,4,true
19,3,4,5,true
19,4,5,6,true
19,5,6,1,true
19,6,1,3,true
19,1,2,4,true
19,2,4,5,true
19,4,5,7,true
19,5,7,1,true
19,7,1,2,true
19,1,2,3,true
19,2,3,6,true
19,3,6,7,true
19,6,7,1,true
19,7,1,2,true
19,1,2,3,true
19,2,3,5,true
19,3,5,8,true
19,5,8,1,true
19,8,1,2,true
19,1,2,3,false
19,2,3,4,false
19,3,4,9,true
19,4,9,1,true
19,9,1,2,true
20,2,3,4,true
20,3,4,5,true
20,4,5,6,true
20,5,6,2,true
20,6,2,3,true
20,1,3,4,true
20,3,4,5,true
20,4,5,7,true
20,5,7,1,true
20,7,1,3,true
20,1,2,4,true
20,2,4,6,true
20,4,6,7,true
20,6,7,1,true
20,7,1,2,true
20,1,2,4,true
20,2,4,5,true
20,4,5,8,true
20,5,8,1,true
20,8,1,2,true
20,1,2,3,true
20,2,3,6,true
20,3,6,8,true
20,6,8,1,true
20,8,1,2,true
20,1,2,3,true
20,2,3,5,true
20,3,5,9,true
20,5,9,1,true
20,9,1,2,true
20,1,2,3,true
20,2,3,4,true
20,3,4,10,true
20,4,10,1,true
20,10,1,2,true
21,2,3,4,true
21,3,4,5,true
21,4,5,7,true
21,5,7,2,true
21,7,2,3,true
21,1,3,4,true
21,3,4,6,true
21,4,6,7,true
21,6,7,1,true
21,7,1,3,true
21,1,2,5,true
21,2,5,6,true
21,5,6,7,true
21,6,7,1,true
21,7,1,2,true
21,1,3,4,true
21,3,4,5,true
21,4,5,8,true
21,5,8,1,true
21,8,1,3,true
21,1,2,4,false
21,2,4,6,true
21,4,6,8,true
21,6,8,1,true
21,8,1,2,true
21,1,2,3,false
21,2,3,7,false
21,3,7,8,false
21,7,8,1,true
21,8,1,2,true
21,1,2,4,false
21,2,4,5,false
21,4,5,9,false
21,5,9,1,true
21,9,1,2,true
21,1,2,3,false
21,2,3,6,false
21,3,6,9,false
21,6,9,1,false
21,9,1,2,true
21,1,2,3,false
21,2,3,5,false
21,3,5,10,false
21,5,10,1,false
21,10,1,2,false
21,1,2,3,false
21,2,3,4,false
21,3,4,11,false
21,4,11,1,false
21,11,1,2,false
22,2,3,4,true
22,3,4,6,true
22,4,6,7,true
22,6,7,2,true
22,7,2,3,true
22,1,3,5,true
22,3,5,6,true
22,5,6,7,true
22,6,7,1,true
22,7,1,3,true
22,2,3,4,true
22,3,4,5,true
22,4,5,8,true
22,5,8,2,true
22,8,2,3,true
22,1,3,4,true
22,3,4,6,true
22,4,6,8,true
22,6,8,1,true
22,8,1,3,true
22,1,2,5,true
22,2,5,6,true
22,5,6,8,true
22,6,8,1,true
22,8,1,2,true
22,1,2,4,true
22,2,4,7,true
22,4,7,8,true
22,7,8,1,true
22,8,1,2,true
22,1,3,4,true
22,3,4,5,true
22,4,5,9,true
22,5,9,1,true
22,9,1,3,true
22,1,2,4,true
22,2,4,6,true
22,4,6,9,true
22,6,9,1,true
22,9,1,2,true
22,1,2,3,true
22,2,3,7,true
22,3,7,9,true
22,7,9,1,true
22,9,1,2,true
22,1,2,4,true
22,2,4,5,true
22,4,5,10,true
22,5,10,1,true
22,10,1,2,true
22,1,2,3,false
22,2,3,6,false
22,3,6,10,true
22,6,10,1,true
22,10,1,2,true
22,1,2,3,false
22,2,3,5,false
22,3,5,11,false
22,5,11,1,false
22,11,1,2,true
22,1,2,3,false
22,2,3,4,false
22,3,4,12,false
22,4,12,1,false
22,12,1,2,false
23,2,3,5,true
23,3,5,6,true
23,5,6,7,true
23,6,7,2,true
23,7,2,3,true
23,1,4,5,true
23,4,5,6,true
23,5,6,7,true
23,6,7,1,true
23,7,1,4,true
23,2,3,4,true
23,3,4,6,true
23,4,6,8,true
23,6,8,2,true
23,8,2,3,true
23,1,3,5,true
23,3,5,6,true
23,5,6,8,true
23,6,8,1,true
23,8,1,3,true
23,1,3,4,true
23,3,4,7,true
23,4,7,8,true
23,7,8,1,true
23,8,1,3,true
23,1,2,5,true
23,2,5,7,true
23,5,7,8,true
23,7,8,1,true
23,8,1,2,true
23,2,3,4,true
23,3,4,5,true
23,4,5,9,true
23,5,9,2,true
23,9,2,3,true
23,1,3,4,true
23,3,4,6,true
23,4,6,9,true
23,6,9,1,true
23,9,1,3,true
23,1,2,5,true
23,2,5,6,true
23,5,6,9,true
23,6,9,1,true
23,9,1,2,true
23,1,2,4,true
23,2,4,7,true
23,4,7,9,true
23,7,9,1,true
23,9,1,2,true
23,1,2,3,true
23,2,3,8,true
23,3,8,9,true
23,8,9,1,true
23,9,1,2,true
23,1,3,4,true
23,3,4,5,true
23,4,5,10,true
23,5,10,1,true
23,10,1,3,true
23,1,2,4,true
23,2,4,6,true
23,4,6,10,true
23,6,10,1,true
23,10,1,2,true
23,1,2,3,true
23,2,3,7,true
23,3,7,10,true
23,7,10,1,true
23,10,1,2,true
23,1,2,4,true
23,2,4,5,true
23,4,5,11,true
23,5,11,1,true
23,11,1,2,true
23,1,2,3,true
23,2,3,6,true
23,3,6,11,true
23,6,11,1,true
23,11,1,2,true
23,1,2,3,false
23,2,3,5,false
23,3,5,12,false
23,5,12,1,true
23,12,1,2,true
23,1,2,3,false
23,2,3,4,false
23,3,4,13,false
23,4,13,1,false
23,13,1,2,true
24,2,4,5,true
24,4,5,6,true
24,5,6,7,true
24,6,7,2,true
24,7,2,4,true
24,2,3,5,true
24,3,5,6,true
24,5,6,8,true
24,6,8,2,true
24,8,2,3,true
24,1,4,5,true
24,4,5,6,true
24,5,6,8,true
24,6,8,1,true
24,8,1,4,true
24,2,3,4,true
24,3,4,7,true
24,4,7,8,true
24,7,8,2,true
24,8,2,3,true
24,1,3,5,true
24,3,5,7,true
24,5,7,8,true
24,7,8,1,true
24,8,1,3,true
24,1,2,6,true
24,2,6,7,true
24,6,7,8,true
24,7,8,1,true
24,8,1,2,true
24,2,3,4,true
24,3,4,6,true
24,4,6,9,true
24,6,9,2,true
24,9,2,3,true
24,1,3,5,true
24,3,5,6,true
24,5,6,9,true
24,6,9,1,true
24,9,1,3,true
24,1,3,4,true
24,3,4,7,true
24,4,7,9,true
24,7,9,1,true
24,9,1,3,true
24,1,2,5,true
24,2,5,7,true
24,5,7,9,true
24,7,9,1,true
24,9,1,2,true
24,1,2,4,false
24,2,4,8,false
24,4,8,9,true
24,8,9,1,true
24,9,1,2,true
24,2,3,4,true
24,3,4,5,true
24,4,5,10,true
24,5,10,2,true
24,10,2,3,true
24,1,3,4,false
24,3,4,6,true
24,4,6,10,true
24,6,10,1,true
24,10,1,3,true
24,1,2,5,false
24,2,5,6,false
24,5,6,10,true
24,6,10,1,true
24,10,1,2,true
24,1,2,4,false
24,2,4,7,false
24,4,7,10,false
24,7,10,1,true
24,10,1,2,true
24,1,2,3,false
24,2,3,8,false
24,3,8,10,false
24,8,10,1,false
24,10,1,2,true
24,1,3,4,false
24,3,4,5,false
24,4,5,11,false
24,5,11,1,false
24,11,1,3,true
24,1,2,4,false
24,2,4,6,false
24,4,6,11,false
24,6,11,1,false
24,11,1,2,true
24,1,2,3,false
24,2,3,7,false
24,3,7,11,false
24,7,11,1,false
24,11,1,2,false
24,1,2,4,false
24,2,4,5,false
24,4,5,12,false
24,5,12,1,false
24,12,1,2,false
24,1,2,3,false
24,2,3,6,false
24,3,6,12,false
24,6,12,1,false
24,12,1,2,false
24,1,2,3,false
24,2,3,5,false
24,3,5,13,false
24,5,13,1,false
24,13,1,2,false
24,1,2,3,false
24,2,3,4,false
24,3,4,14,false
24,4,14,1,false
24,14,1,2,false
25,3,4,5,true
25,4,5,6,true
25,5,6,7,true
25,6,7,3,true
25,7,3,4,true
25,2,4,5,true
25,4,5,6,true
25,5,6,8,true
25,6,8,2,true
25,8,2,4,true
25,2,3,5,true
25,3,5,7,true
25,5,7,8,true
25,7,8,2,true
25,8,2,3,true
25,1,4,5,true
25,4,5,7,true
25,5,7,8,true
25,7,8,1,true
25,8,1,4,true
25,1,3,6,true
25,3,6,7,true
25,6,7,8,true
25,7,8,1,true
25,8,1,3,true
25,2,3,5,true
25,3,5,6,true
25,5,6,9,true
25,6,9,2,true
25,9,2,3,true
25,1,4,5,true
25,4,5,6,true
25,5,6,9,true
25,6,9,1,true
25,9,1,4,true
25,2,3,4,true
25,3,4,7,true
25,4,7,9,true
25,7,9,2,true
25,9,2,3,true
25,1,3,5,true
25,3,5,7,true
25,5,7,9,true
25,7,9,1,true
25,9,1,3,true
25,1,2,6,true
25,2,6,7,true
25,6,7,9,true
25,7,9,1,true
25,9,1,2,true
25,1,3,4,true
25,3,4,8,true
25,4,8,9,true
25,8,9,1,true
25,9,1,3,true
25,1,2,5,true
25,2,5,8,true
25,5,8,9,true
25,8,9,1,true
25,9,1,2,true
25,2,3,4,true
25,3,4,6,true
25,4,6,10,true
25,6,10,2,true
25,10,2,3,true
25,1,3,5,true
25,3,5,6,true
25,5,6,10,true
25,6,10,1,true
25,10,1,3,true
25,1,3,4,true
25,3,4,7,true
25,4,7,10,true
25,7,10,1,true
25,10,1,3,true
25,1,2,5,true
25,2,5,7,true
25,5,7,10,true
25,7,10,1,true
25,10,1,2,true
25,1,2,4,true
25,2,4,8,true
25,4,8,10,true
25,8,10,1,true
25,10,1,2,true
25,1,2,3,false
25,2,3,9,false
25,3,9,10,true
25,9,10,1,true
25,10,1,2,true
25,2,3,4,true
25,3,4,5,true
25,4,5,11,true
25,5,11,2,true
25,11,2,3,true
25,1,3,4,true
25,3,4,6,true
25,4,6,11,true
25,6,11,1,true
25,11,1,3,true
25,1,2,5,true
25,2,5,6,true
25,5,6,11,true
25,6,11,1,true
25,11,1,2,true
25,1,2,4,true
25,2,4,7,true
25,4,7,11,true
25,7,11,1,true
25,11,1,2,true
25,1,2,3,false
25,2,3,8,false
25,3,8,11,false
25,8,11,1,true
25,11,1,2,true
25,1,3,4,false
25,3,4,5,true
25,4,5,12,true
25,5,12,1,true
25,12,1,3,true
25,1,2,4,false
25,2,4,6,false
25,4,6,12,false
25,6,12,1,true
25,12,1,2,true
25,1,2,3,false
25,2,3,7,false
25,3,7,12,false
25,7,12,1,false
25,12,1,2,true
25,1,2,4,false
25,2,4,5,false
25,4,5,13,false
25,5,13,1,false
25,13,1,2,true
25,1,2,3,false
25,2,3,6,false
25,3,6,13,false
25,6,13,1,false
25,13,1,2,false
25,1,2,3,false
25,2,3,5,false
25,3,5,14,false
25,5,14,1,false
25,14,1,2,false
25,1,2,3,false
25,2,3,4,false
25,3,4,15,false
25,4,15,1,false
25,15,1,2,false
